pin_id,board,title,overlay_hook,description,link_slug,pin_image_url,keyword_target,type
p001,2 How to Tile UK DIY,How to tile a bathroom floor in 8 steps,"8 steps. Real method.","UK DIY bathroom tiling — the exact 8-step method a professional tiler uses. Subfloor prep, adhesive, layout, cutting, grouting. Tool list + price range inside. For homeowners tiling their first bathroom.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,how to tile a bathroom floor,how-to
p002,7 Tiling Tools UK,Sigma vs RUBI: which tile cutter actually wins,"Sigma vs RUBI — tested","Two tile cutter brands, real job comparison. Cut quality, lever feel, blade life, UK stockists, and which one lives on my van. Honest UK tiler's take with affiliate picks that save you guessing.",blog/sigma-vs-rubi-tile-cutters,/pin-studio/blog/sigma-vs-rubi-tile-cutters,Sigma vs RUBI tile cutter,decision
p003,1 Small UK Bathroom Tiling Ideas,5 small bathroom tile layouts that open the room up,"Make a tiny bathroom look bigger","UK small bathrooms: 5 tile layouts that actually make a 2m² room feel larger. Large format, vertical stack, continuous drench, mosaic floor with plain wall, diagonal herringbone. Which suits your bathroom.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,small bathroom tiling ideas,inspo
p004,3 Tile Drenching,Tile drenching: the 2026 bathroom trend explained,"Tile drenching — the 2026 look","Walls. Floor. Ceiling. Same tile. Tile drenching is 2026's biggest bathroom trend. We break down which tile sizes work, which colours forgive mould, and the real cost per square metre in the UK.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,tile drenching,inspo
p005,7 Tiling Tools UK,Best laser levels for UK tiling jobs in 2026,"Laser levels ranked","Which laser level a UK tiler actually buys. DEWALT vs Bosch vs Huepar — self-levelling, green beam, pulse mode, and battery life tested on site. Affiliate picks at Amazon UK so you don't have to guess.",blog/laser-levels-for-tiling,/pin-studio/blog/laser-levels-for-tiling,laser level for tiling,commercial
p006,8 Tile Grout & Adhesive,How to grout tile: the UK trade method,"Grout like a tiler","Grouting ruins more first-time tile jobs than cutting. This is the trade method: mix ratio, application angle, cleaning window, epoxy vs cement, grout colour choice. Plus the 3 mistakes that turn grout black in weeks.",guides/how-to-choose-tile-grout,/pin-studio/guides/how-to-choose-tile-grout,how to grout tile,how-to
p007,6 Kitchen Splashback & Wall,Kitchen splashback tile ideas for 2026 UK kitchens,"Kitchen splashbacks that last","Beyond plain metro: 2026 UK kitchen splashback tile ideas. Zellige, fluted porcelain, colour-drenched walls, contrast grout. Installation notes, heat resistance, and price bands from £12/m² to £120/m².",best/best-tools-large-format-tiles,/pin-studio/best-of/best-tools-large-format-tiles,kitchen splashback tiles,inspo
p008,2 How to Tile UK DIY,How to tile a bathroom wall — step by step for DIYers,"Tile a bathroom wall step-by-step","Full UK method for tiling a bathroom wall, from priming plasterboard to pressing the last tile. Tool list, adhesive choice, layout lines, cutting awkward edges, grouting. Written by a 10-year professional tiler.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,how to tile a wall,how-to
p009,4 2026 UK Tile Trends,8 UK tile trends that will define 2026 bathrooms,"2026 UK tile trends","The 8 tile trends actually dominating UK bathrooms this year: tile drenching, earthy greens, terrazzo revival, zellige, checkerboard floors, fluted texture, muted pastels, walk-in shower drama. Which will age well.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,bathroom tile trends 2026,inspo
p010,7 Tiling Tools UK,The £200 tiling starter kit every DIYer should own,"£200 DIY tiling kit","A £200 tool kit that covers 90% of UK DIY tiling jobs — tile cutter, trowel, levellers, sponge, grout float, spacers, laser line. Amazon UK picks with real prices. No wasted spend.",best/best-budget-tiling-tools-uk,/pin-studio/best-of/best-budget-tiling-tools-uk,budget tiling tools UK,commercial
p011,1 Small UK Bathroom Tiling Ideas,Sage green small bathroom tiles: the 2026 refresh,"Sage green small bathroom","Sage green — the calm, on-trend colour for a small UK bathroom. Tile shapes, grout colour combinations, lighting, and pairing with brass or black fittings. Full budget breakdown.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,sage green bathroom tiles,inspo
p012,2 How to Tile UK DIY,How to cut tiles cleanly (3 methods UK tilers use),"3 ways UK tilers cut tiles","Manual cutter, wet saw, angle grinder — the three ways UK tilers cut tile and when to reach for each. Scoring depth, blade speed, dust control, and the one mistake that cracks your tile in half.",blog/how-to-choose-tile-cutter,/pin-studio/blog/how-to-choose-tile-cutter,how to cut tiles,how-to
p013,5 Bathroom Floor Tiles UK,Non-slip bathroom floor tiles UK — R10 vs R11 explained,"R10 vs R11 — what matters","Non-slip bathroom floor tiles: the difference between R9, R10, R11, and R12 ratings, which suits a wet room vs a family bathroom, and the 5 UK brands we trust. Plus UFH compatibility notes.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,non-slip bathroom floor,commercial
p014,3 Tile Drenching,Black tile drenched bathrooms: moody 2026 trend,"Black tile drenching","Black floor-to-ceiling bathroom drenching is the moody 2026 trend that photographs unforgettable. Here's which black tile size works, what grout colour disappears, and the lighting trick that makes it feel spacious not coffin-like.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,black bathroom tiles,inspo
p015,8 Tile Grout & Adhesive,Why bathroom grout turns black (and 3 ways to stop it),"Stop black grout","Grout turning black in the shower in 6 weeks? It's not dirt — it's biological and preventable. The 3 installation choices that stop it, the 2 cleaning routines that reverse it, and the grout colour that hides it.",guides/how-to-choose-tile-grout,/pin-studio/guides/how-to-choose-tile-grout,bathroom grout turning black,how-to
p016,4 2026 UK Tile Trends,Terrazzo is back: 2026 UK bathroom picks,"Terrazzo 2026","Terrazzo's back — and 2026 versions have bigger chips, warmer palettes, less 1990s beige. The UK stockists worth knowing, which scale works on a bathroom floor, and grout colour rules for terrazzo.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,terrazzo bathroom,inspo
p017,9 UK Bathroom Before & After,UK bathroom transformation: £1,480 budget breakdown,"£1,480 real bathroom reno","Full UK DIY bathroom renovation: £1,480 total, 12 days, two people. Tiles used, tools rented vs bought, where we saved, where we shouldn't have. Honest budget breakdown with Amazon picks.",best/best-professional-tiling-starter-kit,/pin-studio/best-of/best-professional-tiling-starter-kit,budget bathroom makeover UK,inspo
p018,10 Zellige Terrazzo Handmade,Zellige tiles UK: the honest guide,"Zellige UK guide","Zellige tiles — the handmade Moroccan-inspired tile everyone's pinning. Which UK suppliers are legit, what lippage really looks like, how to grout irregular edges, and whether they survive daily UK bathroom use.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,zellige tiles,inspo
p019,7 Tiling Tools UK,The wet saw I'd buy if I was tiling full-time UK,"One wet saw pick","If I was buying one wet saw for full-time UK tiling in 2026, this is it. The bench size, motor, blade, rail length, and price that balance pro output with home storage. Compared against 4 rivals.",best/best-wet-saw-for-tiling,/pin-studio/best-of/best-wet-saw-for-tiling,wet saw for tiling,commercial
p020,2 How to Tile UK DIY,Subfloor prep before tiling: the step nobody explains,"Subfloor prep","Your tile job fails or succeeds before you lay a tile. The 4 subfloor checks (flatness, deflection, moisture, priming), when to use backer board vs self-levelling, and how to tell if the floor is ready.",guides/subfloor-prep-before-tiling,/pin-studio/guides/subfloor-prep-before-tiling,self levelling compound bathroom,how-to
p021,1 Small UK Bathroom Tiling Ideas,Walk-in shower tile ideas for UK small bathrooms,"Walk-in shower tile ideas","Walk-in shower tile ideas built for UK small bathrooms. Floor-to-ceiling drenching, niche placement, drain tile patterns, slip rating rules, and the 3 layouts that make the shower feel bigger.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,walk in shower tile ideas,inspo
p022,6 Kitchen Splashback & Wall,Zellige kitchen splashback: the 2026 classic,"Zellige kitchen","Zellige kitchen splashback — the handmade texture pulling UK kitchens back to warmth. Which sheen, which grout, how to cut for sockets, and the price-per-metre reality before you fall in love on Pinterest.",best/best-tools-large-format-tiles,/pin-studio/best-of/best-tools-large-format-tiles,kitchen splashback tiles,inspo
p023,8 Tile Grout & Adhesive,Epoxy vs cement grout: which for a UK bathroom,"Epoxy vs cement grout","Epoxy grout stops mould forever but costs 3× and punishes mistakes. Cement grout is forgiving but needs sealing. Which one belongs in your UK bathroom project and the price-per-kg of each.",guides/how-to-choose-tile-grout,/pin-studio/guides/how-to-choose-tile-grout,epoxy vs cement grout,decision
p024,5 Bathroom Floor Tiles UK,Large format bathroom floor tiles: what nobody tells you,"Large format floor tiles","800×800 tiles look incredible in UK bathrooms — if you avoid the 4 installation traps. Lippage, deflection, adhesive bed thickness, and why 600×600 might actually be the sweet spot for DIY.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,large format tile installation,how-to
p025,4 2026 UK Tile Trends,Checkerboard tile floors: the 70s revival making it to 2026,"Checkerboard floor 2026","Black-and-cream checkerboard floors. Terracotta checkerboard. The 70s pattern that's 2026's comeback story in UK kitchens and downstairs WCs. Tile size rules, grout colour, and the optical tricks that work.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,checkerboard tile floor,inspo
p026,7 Tiling Tools UK,Tile levelling systems: do they actually save time,"Tile levelling systems — worth it","Tile levelling systems promise flat floors on the first go. Do they deliver? We tested 3 brands (Raimondi, Rubi, unbranded) on a real job. Which one saves time, which one wastes spacers, which one to skip.",best/best-professional-tiling-starter-kit,/pin-studio/best-of/best-professional-tiling-starter-kit,tile levelling system,commercial
p027,3 Tile Drenching,Sage green drenched bathroom: warm 2026 biophilia,"Sage drench","Sage green drenched bathroom — 2026's biophilic must-pin. Which sage (muted vs punchy), which grout, best fittings to pair (brass, warm brushed nickel), and the skylight or window setup that sings.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,sage green bathroom tiles,inspo
p028,2 How to Tile UK DIY,The 5 biggest UK DIY tile mistakes (and how to dodge them),"5 UK DIY tile mistakes","10 years watching first-timers tile. These 5 mistakes wreck 80% of DIY jobs — skipping primer, wrong notch trowel, over-buttering, grouting too soon, sealing never. Exactly how to avoid each.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,bathroom tile mistakes,how-to
p029,9 UK Bathroom Before & After,Before/after: tiny ensuite turned spa (with numbers),"Tiny ensuite → spa","4m² ensuite transformation. £980 total. 9 days. Tiles, adhesive, grout, trim, tools all listed with UK supplier links and exact prices. What we'd change if we did it again.",best/best-professional-tiling-starter-kit,/pin-studio/best-of/best-professional-tiling-starter-kit,budget bathroom makeover UK,inspo
p030,10 Zellige Terrazzo Handmade,Handmade clay tiles UK: the artisan look on a real budget,"Handmade tiles UK","Handmade clay and zellige tiles are the 2026 artisan look — but UK prices range wild. Stockists under £80/m², the ones worth £200/m², and the lookalike porcelain that fools everyone at 1/4 the price.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,clay tile bathroom,inspo
